genre_name,genre_id
Psychedelic Rock,c5944406-6a19-4ebe-9e7c-73b3a4c4de8c
Nu Jazz,c2aedbd9-b9bd-4463-8536-1114651d5273
Pop Reggae,bb6414a1-bfe4-4c53-bf62-d745a8e9d43a
Trance,25ede86c-7bf0-4487-919b-d6a76279a47a
AOR,87bbc4c8-966c-47dd-a0cd-789e08ff8772
Electroacoustic,316f9d04-d8f5-4ab6-b609-94da3a85a6c7
Stoner Metal,6c501e8c-0228-486b-9703-4ad33323ba35
Bubblegum Bass,1f2d2151-600f-40ee-959e-1212b9ebfefb
Post-Grunge,85bd4f16-bd9f-46b3-bdb8-292f4147ab3b
Blues Rock,99b1efa1-d242-46df-b700-15702b9cf907
Free Improvisation,393a5f06-db15-4ce8-be69-3b3695306588
Country Soul,e8efb9b2-9399-4222-9764-17f155a3d22b
Chamber Pop,6281c94e-3c71-4c39-995d-b446d6b5f92a
Outsider House,b21d9ea9-1f86-476f-8bfc-3f27685697d4
Americana,cc8f1b86-a8fd-4b79-ad99-b6fddb73cebe
Vocal Jazz,7809c642-ddf5-4205-ae37-c762a9c76753
Death Metal,a43458c8-a291-45a8-86f4-8c54550c8edd
Rock,ee71b05b-0edb-4dff-9cd6-9d972d7ad4a8
Experimental,56968483-4521-4c5d-9e65-49587fb46f6d
Minimal Techno,667a67aa-96de-4564-85ed-f4a22eb8332a
Field Recordings,26df6d9b-d887-428d-bdc1-0c99a9ab6e92
Art Rock,8fe6a4f8-4a57-447a-be01-0c2b5fa0a1be
Singer-Songwriter,ec629e1e-3fb8-4b48-b305-955649625003
Hypnagogic Pop,f47aee39-ff4a-458b-9f17-ee472f0b0ee1
Avant-Garde Metal,a1b8a872-9990-48ae-a045-dbaf14b3f3f8
Symphonic Metal,2a265c88-099e-4e6e-bde8-a66f2ec27f17
Experimental Rock,fedc11a9-b20d-4aad-a72a-e7975574c288
Grindcore,edc20958-8911-4469-b842-bf1c7455328f
Comedy,ddfb8e5f-1276-43b6-b1c3-f03194d9b70f
J-Pop,cf7a8718-755d-41c6-8058-1bcb336745e6
Downtempo,b4845289-3086-4613-a150-cc4cee13eea2
Ethereal Wave,d38b7f72-b207-4832-aad9-e04906200414
IDM,5b77a555-702c-46aa-b9d3-3346d5b3d563
Disco,45ca6485-ebba-406b-a1ec-6e4f977ce05f
Slowcore,008b277b-9135-44fe-b1be-83bc749bf26f
Flamenco nuevo,2b8fc4d4-6aa2-4dd3-8d86-6837ce9d6d38
Power Electronics,a2299e3b-ea0e-4f8b-8cb3-8e7c90f609ab
Country Rock,6eff479c-37f6-4b11-a759-04bdbb5d2a35
Space Rock,80073921-ec66-4d48-812e-911e9ec866bf
Noise,3b3e9328-3e7e-418c-a254-a60898ed8717
Alternative Rock,fa3c59dd-338f-41be-870f-f3667debdbc5
Big Beat,3f6b3cf6-1466-4d72-854b-1b03d3fae923
Jam Band,9c235052-6f66-49e7-9580-bc52f2a9d9a6
Industrial Rock,279e2d89-17a2-46b9-91ba-59d0e3d80240
Minimal,fa20f8d6-49de-413b-8851-168ceb8c7d35
Christmas,275dccbc-44e7-4259-a396-74e3d26287c5
Heavy Psych,342aa6ac-7aab-4933-b102-1e2b99ce264f
Dungeon Synth,f2954426-9653-4fd3-b077-3286d9f3112c
Funk,8c2134f7-cdb1-4bf1-9168-16c631747908
Rap Rock,a6ee9b6c-d488-4926-8414-e65ff3d24311
Folktronica,267988ab-e4b4-4327-929e-df9fda03bf66
Pop Punk,b3f90972-93e9-4477-9e90-bc09d1cd57e9
No Wave,b9c4de97-3cf7-4c70-8610-76306390a67a
Funk Metal,823f8ea7-f37c-4901-bd4f-1ccde12cda8f
Synthpop,b1301422-eac6-4685-8489-ea15f55c7013
Deathcore,7ec76069-d9f1-4184-9e3a-aea6b48372ca
Stoner Rock,b8df89da-e3a2-40e5-bcb6-78b4da6bdd9a
EDM,c7728f3f-4ecf-4f7f-b6b2-5b3ebbccc867
Electronica,e0798bbc-d989-4aed-a0a0-8a32723050cd
Chamber Folk,7ea6ebdc-a1e5-4e19-9952-cfa47c7b36a4
Indie Pop,8bba6725-d545-43ea-8dd5-821a7fff596b
Musique concrète,34a81d7a-4e2a-48cb-bb83-5e0912d3c873
Dark Ambient,0231296a-12ea-409e-8ef3-0433783ee5ba
Progressive Electronic,43e3b94d-cd1e-4781-a9cd-d607ad328d66
Trap,75ab2e58-a45e-476d-be64-e4e7baa0d5fc
Baroque Pop,835e5052-af8c-4d4c-a8c3-5623e3eb7410
Crossover Thrash,b2fa78fb-2e1b-4c63-8cb6-86995efe5177
Future Funk,c3f5dde4-6944-4809-adaa-e03e25aae574
Neoclassical Darkwave,62c9e76c-0d95-4f01-a3ad-8a983b5b495b
Blues,0775e8b6-d448-4cfc-9784-2b81692d32e3
Industrial,7731f0ec-0dcf-43cf-857f-ca76bc43a830
Folk Metal,85667d5a-d8ab-4ef1-bc40-5e2dad125ad6
Noise Pop,e827db72-8a8e-4ac4-89ae-18655f51a964
Avant-Folk,cb0908a4-6ff2-4a39-9756-79ad3ff3e6e5
Reggaeton,3b00adf5-0b48-407d-9f94-7db3de3167bc
Roots Reggae,7826abb9-7d5f-45e3-8a84-f17655c47b01
Industrial Techno,6d625a41-8d63-4eb9-a073-dc6c97cdcf10
Grime,fa7486c2-926f-449e-82dd-4ab3b35e86d0
Abstract Hip Hop,15e42a56-1427-4c8a-9f45-0d9da89a04d7
Musical Parody,e4f026d1-e924-4f13-bb1d-aeacf550c7e9
Wonky,c9be9108-99e8-4232-b4c6-dda9262bf9b7
Drum and Bass,b7dbc448-6842-4a25-8f99-b0cd1663b7de
Khyal,ab78a414-c123-482c-ba77-e321ac6a00a1
Dub Techno,fc1f892c-be83-4d4e-8194-1874300007fc
Ska,e854f1e7-8adf-440a-8795-ca242b315f7e
Lo-Fi,24e56f06-79d3-4e34-87d9-a29e3ff0f411
Nu Metal,3de91b64-aa26-4a50-b141-a6513e8cd45a
Yacht Rock,15b48c28-2f55-4589-b8a2-78520229e7ad
Skate Punk,98da98c1-5b8a-478d-8442-d323500ab5f9
Hip Hop,b176a5cc-394e-4fed-a18e-c27da9de0d83
Progressive Pop,eaa97f34-7752-45d8-bd7c-a9621b1593b6
Folk Pop,43535d6b-8ede-462b-9016-cc3d0984b0a7
World,abfa9109-50ac-4954-b698-eab436287c89
Glitch,4fd3af02-c559-4b20-addf-b9a4809ea319
Pop Soul,d886f436-a6b7-49c9-9c7d-edc5f01149d9
Thrash Metal,521fc234-bde8-4839-a866-d5e05553db0a
Protopunk,71685f1f-a68c-48cb-9408-c562f49d8d45
Acid House,255c611c-80e5-441d-bb5f-6e667118a5a7
Math Rock,1a25d0c7-903a-4bdf-9c7d-82874daa6e4a
Mashup,0271de7d-b0c5-441a-8d45-5907e003ef42
Dubstep,d5cb9d29-e3cc-43bf-9640-289cb6aeeb96
American Primitivism,98a5a227-0128-41da-8363-7abb808900c8
Post-Punk Revival,4007f07f-9d7f-4915-a667-0c5acb143fa3
NULL,025453e6-2ae9-45db-8796-d43308196259
Traditional Pop,c78633ac-d883-4915-9a7f-280b9f382ac7
Electropop,ea8303aa-28c1-484e-9567-8e56edb68800
Ska Punk,40c3509c-c19e-4ab6-95a0-71d84ce78ac6
Plunderphonics,d89d6d98-f5f1-422e-bfc7-fc812f6e4592
Progressive House,7e8aa0dd-e476-46f1-a275-0dacc9c8ee60
Black Metal,7a287c8d-822a-45fe-be34-6627e328957b
Horrorcore,3543ef2b-d84e-4347-b758-5d9edd1d5d07
Witch House,355ed14d-96f7-4d3c-be5f-34175bc8cf5f
Sophisti-Pop ,ddd89e06-ec58-44e1-ba44-3bd8090691bc
Digital Hardcore,2f3ea97f-f632-4348-83b5-399862eba01b
Punk Rock,a08d477a-0c99-46e9-a300-b87137e2db8c
Glam Rock,766f5b25-4242-4d78-97a2-351350d2274f
Soul,e2feb33d-61c4-42d6-b0eb-f13fdbf6883d
Trip Hop,01f6ec8c-bca8-424e-a759-189388dc074a
K-Pop,19c9ddd2-c824-48dc-bc02-ac96f72ca0ac
